family,fraction,training_seed,raw_n,validity,unique_valid_n,unique_valid_yield,chemically_sane_fraction,neutral_fraction,strict_flp_n,strict_flp_yield,novel_flp_n,novel_flp_yield,final_candidate_n,final_candidate_yield,novelty_vs_all_seed,novelty_vs_templates,novelty_vs_all_reference,stereo_novelty_vs_all_reference,near_duplicate_095,mean_snn_to_train,internal_diversity,scaffold_novelty_vs_train
P5,50,55,500.0,0.262,130.0,0.26,0.8718773946360153,0.866176245210728,50.0,0.09999999999999999,42.333333333333336,0.08466666666666667,21.666666666666668,0.043333333333333335,0.9414367816091954,0.9950344827586207,0.9364712643678161,0.9364712643678161,0.042229885057471266,0.3995831185861996,0.8665174660635184,0.7133914225682858
P5,50,66,500.0,0.34800000000000003,168.0,0.336,0.9129655712842961,0.9167536419859421,72.66666666666667,0.14533333333333331,55.0,0.11,33.666666666666664,0.06733333333333334,0.8906134771775637,0.9841392483305805,0.8808257982870646,0.8808257982870646,0.09724037726459524,0.45604265764093704,0.8596224636549198,0.7040242623904502
P0,100,11,500.0,0.2593333333333333,128.66666666666666,0.2573333333333333,0.8606316053522743,0.8936718442286576,42.333333333333336,0.0846666666666666,35.666666666666664,0.0713333333333333,20.666666666666668,0.0413333333333333,0.9532303101916336,0.9866028108022472,0.94263424144206,0.94263424144206,0.0312172001557889,0.4096868724297389,0.8609438103217126,0.79972314017026
P0,100,22,500.0,0.212,105.33333333333331,0.2106666666666666,0.865089470131487,0.8813303099017386,39.333333333333336,0.0786666666666666,35.0,0.0699999999999999,21.33333333333333,0.0426666666666666,0.9549193414739632,0.9932316360887792,0.9481509775627422,0.9481509775627422,0.0450806585260366,0.4099342009773251,0.8559958536035718,0.8159263705482193
P0,100,33,500.0,0.2493333333333333,123.0,0.246,0.7832515845819615,0.8480378059978947,48.333333333333336,0.0966666666666666,38.333333333333336,0.0766666666666666,23.666666666666668,0.0473333333333333,0.9213934466617394,0.99453515196309,0.9159285986248292,0.9159285986248292,0.0623883177674751,0.4248578561348906,0.8596153946940457,0.7777742921420825
P0,100,44,500.0,0.20466666666666666,101.66666666666667,0.20333333333333334,0.7983586598434834,0.8383192051772856,35.0,0.07,30.333333333333332,0.06066666666666667,19.666666666666668,0.03933333333333333,0.9625857780902899,0.9910582444626743,0.9565425732776021,0.9565425732776021,0.03451567118507234,0.39556336495640326,0.8629283591155567,0.8168612577774472
P0,100,55,500.0,0.2213333333333333,110.66666666666667,0.2213333333333333,0.840301311849021,0.8612539002552175,40.0,0.08,37.666666666666664,0.07533333333333332,18.666666666666668,0.03733333333333333,0.9793909452336745,1.0,0.9793909452336745,0.9793909452336745,0.011862159781916645,0.3776551942216965,0.8646228266003805,0.8187321937321937
P0,100,66,500.0,0.26066666666666666,130.0,0.26,0.8184530452509561,0.8619715106255885,45.666666666666664,0.09133333333333334,39.666666666666664,0.07933333333333334,24.666666666666668,0.04933333333333333,0.9538466607570665,0.9922654388303244,0.9487576022328935,0.9487576022328935,0.03841877807325778,0.40850701633384173,0.8617188569318047,0.797210496143423
P5,100,11,500.0,0.314,156.0,0.312,0.9171541442990108,0.8785462677867741,64.0,0.128,56.333333333333336,0.1126666666666666,39.333333333333336,0.0786666666666666,0.9551151010363388,0.9894131121275987,0.9465858263326618,0.9465858263326618,0.0383227812904324,0.4323352716709488,0.8497822874963186,0.7548766715433383
P5,100,22,500.0,0.2553333333333333,126.0,0.252,0.9074068491195914,0.8809314451592761,55.66666666666666,0.1113333333333333,47.0,0.094,27.33333333333333,0.0546666666666666,0.952429020961921,0.9786925546960156,0.9311215756579364,0.9311215756579364,0.0348065097252621,0.4196979768403814,0.8529828425737872,0.7608967191686112
P5,100,33,500.0,0.292,144.66666666666666,0.2893333333333334,0.9363236633069616,0.9221753585777184,71.0,0.142,61.333333333333336,0.1226666666666666,40.333333333333336,0.0806666666666666,0.9388681798952973,0.9834709911384102,0.9268603948190104,0.9268603948190104,0.0493815969102314,0.4373892579318436,0.8539854327810744,0.7880784013757673
P5,100,44,500.0,0.312,155.66666666666666,0.3113333333333333,0.9146633350107295,0.8933337960633246,70.0,0.14,62.666666666666664,0.12533333333333332,37.0,0.074,0.964144209801778,0.9896013002712755,0.9537455100730535,0.9537455100730535,0.03226963276591068,0.4210424702142815,0.850678333014122,0.7698164738487319
P5,100,55,500.0,0.2806666666666667,138.33333333333334,0.27666666666666667,0.9138737237221196,0.8950400874246215,62.0,0.124,55.0,0.11,38.666666666666664,0.07733333333333332,0.9473585137000344,0.9927232637304325,0.9400817774304672,0.9400817774304672,0.04117285542834961,0.44211044901236635,0.8498705098844077,0.7634127145233033
P5,100,66,500.0,0.27466666666666667,134.33333333333334,0.26866666666666666,0.8958417169684775,0.8822490498546837,56.666666666666664,0.11333333333333333,45.666666666666664,0.09133333333333334,29.333333333333332,0.058666666666666666,0.9205628834736815,0.9780336339021786,0.9009439352162357,0.9009439352162357,0.07462056288347368,0.4573804229747491,0.8481831107808553,0.7555534541633833
