family,fraction,training_seed,raw_n,validity,unique_valid_n,unique_valid_yield,chemically_sane_fraction,neutral_fraction,strict_flp_n,strict_flp_yield,novel_flp_n,novel_flp_yield,final_candidate_n,final_candidate_yield,novelty_vs_all_seed,novelty_vs_templates,novelty_vs_all_reference,stereo_novelty_vs_all_reference,near_duplicate_095,mean_snn_to_train,internal_diversity,scaffold_novelty_vs_train
P1,25,22,500.0,0.142,70.66666666666667,0.14133333333333334,0.8855206628084819,0.8707825121240768,16.333333333333332,0.03266666666666667,15.666666666666666,0.03133333333333333,4.333333333333333,0.008666666666666668,0.9945355191256832,0.9957805907172995,0.9903161098429827,0.9903161098429827,0.00546448087431694,0.30897511924810944,0.8750463733787471,0.8686142045760223
P1,25,33,500.0,0.17066666666666666,85.33333333333333,0.17066666666666666,0.918718130112433,0.9191345885498808,24.0,0.04800000000000001,23.333333333333332,0.04666666666666667,8.0,0.016,0.9920478072651986,1.0,0.9920478072651986,0.9920478072651986,0.00795219273480143,0.32797623786760716,0.8674699594407181,0.8971820006302765
P1,50,11,500.0,0.19999999999999998,100.0,0.19999999999999998,0.8812222864854444,0.8718655613392455,39.333333333333336,0.07866666666666666,33.666666666666664,0.06733333333333334,13.666666666666666,0.027333333333333334,0.9566930145877515,0.9869802711907975,0.9436732857785489,0.9436732857785489,0.03672000514105777,0.37635535581879825,0.8675365520096426,0.7995369345397588
P1,50,22,500.0,0.24133333333333332,120.0,0.24,0.8884945452018623,0.8741852546730596,42.333333333333336,0.08466666666666667,37.333333333333336,0.07466666666666667,19.333333333333332,0.03866666666666666,0.9585226877909805,0.9944409700507261,0.9558126606907095,0.9558126606907095,0.03869953443124175,0.39083470538376125,0.8674966523965578,0.7934101883949055
P1,50,33,500.0,0.27399999999999997,133.66666666666666,0.26733333333333337,0.9071782053224259,0.8817233079163089,51.666666666666664,0.10333333333333333,41.333333333333336,0.08266666666666667,23.333333333333332,0.04666666666666667,0.9266685182379774,0.9897835344813076,0.916452052719285,0.916452052719285,0.06370415256947601,0.42756602549350514,0.8622562922825502,0.7806749611002574
P1,100,11,500.0,0.26133333333333336,129.66666666666666,0.25933333333333336,0.887165245465209,0.8693413935496208,55.333333333333336,0.11066666666666668,43.666666666666664,0.08733333333333333,29.0,0.058,0.9233635959154706,0.9818819796067704,0.9052455755222409,0.9052455755222409,0.06635061940850073,0.44638894742998714,0.8487094886202066,0.7274281481563819
P1,100,22,500.0,0.24,119.66666666666667,0.23933333333333331,0.8438737635377368,0.8417715430673649,41.666666666666664,0.08333333333333333,39.333333333333336,0.07866666666666666,23.0,0.046000000000000006,0.9858139222053294,0.9916149714385819,0.9774288936439114,0.9774288936439114,0.011361219037608472,0.37959754211757346,0.8640824140688067,0.7948719314505676
P1,100,33,500.0,0.26066666666666666,130.0,0.26,0.8894932786511734,0.8511247816510975,53.0,0.106,47.0,0.09400000000000001,27.0,0.054,0.951304625199362,0.994827067669173,0.9461316928685349,0.9461316928685349,0.04338102832839675,0.42459674967827166,0.8527603842609501,0.7888282828282828
P5,25,11,500.0,0.206,102.33333333333333,0.20466666666666666,0.8626268509889199,0.8669229574401989,20.0,0.04,19.333333333333332,0.03866666666666666,6.666666666666667,0.013333333333333334,0.9971264367816092,0.9971264367816092,0.9942528735632185,0.9942528735632185,0.0028735632183908046,0.3084402275313534,0.869323136049695,0.8790279409844627
P5,25,22,500.0,0.20866666666666667,104.0,0.208,0.9108805767307425,0.9107415024094253,23.666666666666668,0.04733333333333333,22.333333333333332,0.04466666666666667,8.666666666666666,0.017333333333333333,0.9873481248594302,1.0,0.9873481248594302,0.9873481248594302,0.013259914055060272,0.338869628137058,0.8632532534209117,0.9173019222762967
P5,25,33,500.0,0.18400000000000002,92.0,0.18400000000000002,0.9358183111975119,0.9373764849029603,27.0,0.054,23.666666666666668,0.04733333333333334,11.0,0.022000000000000002,0.9637461143642015,0.9890078640304005,0.9565853960191232,0.9565853960191232,0.036253885635798455,0.3661189728018667,0.8665288073646065,0.8799495021625559
P5,50,11,500.0,0.296,144.33333333333334,0.2886666666666667,0.9102642447033542,0.9017884923166459,54.0,0.108,46.666666666666664,0.09333333333333334,23.0,0.046000000000000006,0.9543990419590594,0.9907284916451219,0.9451275336041814,0.9451275336041814,0.040738004902125376,0.39898875238371545,0.8589555467720619,0.7324888398932985
P5,50,22,500.0,0.24533333333333332,122.66666666666667,0.24533333333333332,0.8983642998483797,0.8781486906689281,41.666666666666664,0.08333333333333333,38.666666666666664,0.07733333333333332,14.333333333333334,0.028666666666666663,0.9780805900341788,0.9948179271708684,0.9752794695859995,0.9752794695859995,0.016480353609333642,0.35705211009773324,0.8678374965896071,0.7999255672171847
P5,50,33,500.0,0.32666666666666666,159.66666666666666,0.3193333333333333,0.9085948134656863,0.8863047888873322,75.33333333333333,0.15066666666666664,57.666666666666664,0.11533333333333333,36.0,0.07200000000000001,0.8904092529460296,0.9876226107020484,0.8801022570228193,0.8801022570228193,0.08683025714735422,0.46256062815194937,0.8580952650321154,0.6815128567150129
P5,100,11,500.0,0.314,156.0,0.312,0.9171541442990107,0.8785462677867741,64.0,0.128,56.333333333333336,0.11266666666666665,39.333333333333336,0.07866666666666666,0.9551151010363387,0.9894131121275987,0.9465858263326618,0.9465858263326618,0.038322781290432484,0.4323352716709488,0.8497822874963186,0.7548766715433383
P5,100,22,500.0,0.25533333333333336,126.0,0.252,0.9074068491195914,0.8809314451592761,55.666666666666664,0.11133333333333334,47.0,0.09400000000000001,27.333333333333332,0.05466666666666667,0.952429020961921,0.9786925546960156,0.9311215756579365,0.9311215756579365,0.0348065097252621,0.4196979768403814,0.8529828425737872,0.7608967191686112
P5,100,33,500.0,0.29200000000000004,144.66666666666666,0.2893333333333334,0.9363236633069617,0.9221753585777183,71.0,0.142,61.333333333333336,0.12266666666666666,40.333333333333336,0.08066666666666666,0.9388681798952973,0.9834709911384102,0.9268603948190105,0.9268603948190105,0.04938159691023144,0.43738925793184363,0.8539854327810744,0.7880784013757673
scratch,25,11,500.0,0.012666666666666666,5.666666666666667,0.011333333333333334,0.0,0.6527777777777778,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.05420946822719382,0.9651930908316668,1.0
scratch,25,22,500.0,0.010666666666666666,5.0,0.01,0.0,0.8777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.07012040142067379,0.9366337520504188,1.0
scratch,25,33,500.0,0.006000000000000001,2.3333333333333335,0.004666666666666667,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.04960624630435952,0.986904761904762,1.0
scratch,50,11,500.0,0.01,4.666666666666667,0.009333333333333334,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0558492370962722,0.9723625140291806,1.0
scratch,50,22,500.0,0.016666666666666666,6.666666666666667,0.013333333333333334,0.0,0.9523809523809524,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.07414723445365363,0.9341952426672538,1.0
scratch,50,33,500.0,0.016666666666666666,6.0,0.011999999999999999,0.037037037037037035,0.9074074074074074,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.06031297956856462,0.9379634321481657,1.0
scratch,100,11,500.0,0.013333333333333334,4.666666666666667,0.009333333333333334,0.06666666666666667,0.9523809523809524,0.3333333333333333,0.0006666666666666666,0.3333333333333333,0.0006666666666666666,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.06977595501093857,0.9871381741566779,0.75
scratch,100,22,500.0,0.007333333333333333,3.3333333333333335,0.006666666666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.04695330974334936,0.9907407407407408,1.0
scratch,100,33,500.0,0.009333333333333334,3.6666666666666665,0.007333333333333333,0.1111111111111111,0.8222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.07733234979800686,0.9590684624017958,1.0
