cohort,fraction,metric,role,seeds,P0_mean,P0_sd,P5_mean,P5_sd,mean_improvement,improvement_ci_low,improvement_ci_high,positive_pairs,directional_sign_test_p_one_sided,directional_sign_flip_p_one_sided,reported_sign_test_p,reported_sign_flip_p,reported_test_sidedness
pooled,50,validation_bpc,secondary,6,0.2417063465045627,0.009681188004054127,0.22249599251800825,0.006180676361720122,0.019210353986554463,0.011697496229289114,0.02672321174381981,6,0.015625,0.015625,0.03125,0.03125,two-sided
pooled,100,validity,secondary,6,0.23455555555555552,0.024863777014110452,0.2881111111111111,0.02265653368277061,0.05355555555555558,0.021331317567634643,0.0857797935434765,6,0.015625,0.015625,0.03125,0.03125,two-sided
pooled,100,strict_flp_yield,primary,6,0.08355555555555551,0.009528126005946014,0.12644444444444444,0.012917974844149313,0.04288888888888892,0.02607655484888471,0.05970122292889313,6,0.015625,0.015625,0.03125,0.03125,two-sided
pooled,100,final_candidate_yield,secondary,6,0.042888888888888844,0.0046316143893735204,0.07066666666666661,0.011131536781195633,0.027777777777777762,0.013634529740953995,0.041921025814601526,6,0.015625,0.015625,0.03125,0.03125,two-sided
pooled,100,validation_bpc,secondary,6,0.2287817209548624,0.009269111307815749,0.21006560920208894,0.008839042574524919,0.01871611175277342,0.004605705239379998,0.032826518266166844,6,0.015625,0.015625,0.03125,0.03125,two-sided
initial,50,validation_bpc_fixed_8000,secondary,3,0.24873191560828475,0.00818463185140854,0.22785024423127712,0.011906314961722314,0.02088167137700761,-0.0005450324626621178,0.04230837521667734,3,0.125,0.125,0.125,0.125,one-sided directional diagnostic
initial,100,validation_bpc_fixed_8000,secondary,3,0.22508205205941612,0.00920088364728495,0.21129301621273747,0.006782002265956695,0.013789035846678602,0.007571945909839371,0.020006125783517834,3,0.125,0.125,0.125,0.125,one-sided directional diagnostic
additional,50,validation_bpc_fixed_8000,secondary,3,0.24201442409243287,0.005440580497757661,0.23148494386069876,0.012678019007649512,0.010529480231734093,-0.029450570923684603,0.050509531387152785,2,0.5,0.25,0.5,0.25,one-sided directional diagnostic
additional,100,validation_bpc_fixed_8000,secondary,3,0.23360923512333084,0.010414035823317045,0.20884973871024481,0.01203683432251078,0.02475949641308604,-0.025312299762879176,0.07483129258905126,3,0.125,0.125,0.125,0.125,one-sided directional diagnostic
pooled,50,validation_bpc_fixed_8000,secondary,6,0.2453731698503588,0.007223064000680839,0.22966759404598794,0.011178564898467839,0.01570557580437085,0.0022041908247896324,0.029206960783952067,5,0.109375,0.03125,0.21875,0.0625,two-sided
pooled,100,validation_bpc_fixed_8000,secondary,6,0.22934564359137347,0.009952749173456388,0.2100713774614911,0.008839867396260094,0.019274266129882322,0.004391273871131158,0.03415725838863348,6,0.015625,0.015625,0.03125,0.03125,two-sided
