reference_index,smiles,canonical_smiles,curation_status,parse_ok,canonical_roundtrip_ok,canonical_audit,molecular_formula,molecular_weight,heavy_atoms,components,formal_charge,radical_electrons,stereocenters,elements,B,P,N,Al,Si,canonical_match
78,CC(=C(B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)P(c1c(C)cc(C)cc1C)c1c(C)cc(C)cc1C,CC(=C(B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)P(c1c(C)cc(C)cc1C)c1c(C)cc(C)cc1C,keep,True,True,CC(=C(B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)P(c1c(C)cc(C)cc1C)c1c(C)cc(C)cc1C,C39H25BF15P,820.385,56,1,0,0,0,B;C;F;P,1,1,0,0,0,True
79,CC(=C(B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)P(c1c(C)cc(C)cc1C)c1c(C)cc(C)cc1C,CC(=C(B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)P(c1c(C)cc(C)cc1C)c1c(C)cc(C)cc1C,keep,True,True,CC(=C(B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)P(c1c(C)cc(C)cc1C)c1c(C)cc(C)cc1C,C39H25BCl15P,1067.21,56,1,0,0,0,B;C;Cl;P,1,1,0,0,0,True
80,CCCC(=C(B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)P(c1ccccc1)c1ccccc1,CCCC(=C(B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)P(c1ccccc1)c1ccccc1,keep,True,True,CCCC(=C(B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)P(c1ccccc1)c1ccccc1,C35H17BF15P,764.277,52,1,0,0,0,B;C;F;P,1,1,0,0,0,True
81,CCCC(=C(B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)P(c1ccccc1)c1ccccc1,CCCC(=C(B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)P(c1ccccc1)c1ccccc1,keep,True,True,CCCC(=C(B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)P(c1ccccc1)c1ccccc1,C35H17BCl15P,1011.102,52,1,0,0,0,B;C;Cl;P,1,1,0,0,0,True
82,CCCC(=C(B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)P(c1c(C)cc(C)cc1C)c1c(C)cc(C)cc1C,CCCC(=C(B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)P(c1c(C)cc(C)cc1C)c1c(C)cc(C)cc1C,keep,True,True,CCCC(=C(B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)P(c1c(C)cc(C)cc1C)c1c(C)cc(C)cc1C,C41H29BF15P,848.439,58,1,0,0,0,B;C;F;P,1,1,0,0,0,True
83,CCCC(=C(B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)P(c1c(C)cc(C)cc1C)c1c(C)cc(C)cc1C,CCCC(=C(B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)P(c1c(C)cc(C)cc1C)c1c(C)cc(C)cc1C,keep,True,True,CCCC(=C(B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)P(c1c(C)cc(C)cc1C)c1c(C)cc(C)cc1C,C41H29BCl15P,1095.264,58,1,0,0,0,B;C;Cl;P,1,1,0,0,0,True
84,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)C2CC(B(c3c(F)c(F)c(F)c(F)c3F)c3c(F)c(F)c(F)c(F)c3F)c3ccccc32)c(C)c1,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)C2CC(B(c3c(F)c(F)c(F)c(F)c3F)c3c(F)c(F)c(F)c(F)c3F)c3ccccc32)c(C)c1,keep,True,True,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)C2CC(B(c3c(F)c(F)c(F)c(F)c3F)c3c(F)c(F)c(F)c(F)c3F)c3ccccc32)c(C)c1,C39H30BF10P,730.435,51,1,0,0,2,B;C;F;P,1,1,0,0,0,True
85,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)C2CC(B(c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)c3ccccc32)c(C)c1,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)C2CC(B(c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)c3ccccc32)c(C)c1,keep,True,True,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)C2CC(B(c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)c3c(Cl)c(Cl)c(Cl)c(Cl)c3Cl)c3ccccc32)c(C)c1,C39H30BCl10P,894.985,51,1,0,0,2,B;C;Cl;P,1,1,0,0,0,True
86,Fc1c(F)c(F)c(B(c2c(F)c(F)c(F)c(F)c2F)C2CC(P(c3ccccc3)c3ccccc3)c3ccccc32)c(F)c1F,Fc1c(F)c(F)c(B(c2c(F)c(F)c(F)c(F)c2F)C2CC(P(c3ccccc3)c3ccccc3)c3ccccc32)c(F)c1F,keep,True,True,Fc1c(F)c(F)c(B(c2c(F)c(F)c(F)c(F)c2F)C2CC(P(c3ccccc3)c3ccccc3)c3ccccc32)c(F)c1F,C33H18BF10P,646.273,45,1,0,0,2,B;C;F;P,1,1,0,0,0,True
87,Clc1c(Cl)c(Cl)c(B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)C2CC(P(c3ccccc3)c3ccccc3)c3ccccc32)c(Cl)c1Cl,Clc1c(Cl)c(Cl)c(B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)C2CC(P(c3ccccc3)c3ccccc3)c3ccccc32)c(Cl)c1Cl,keep,True,True,Clc1c(Cl)c(Cl)c(B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)C2CC(P(c3ccccc3)c3ccccc3)c3ccccc32)c(Cl)c1Cl,C33H18BCl10P,810.823,45,1,0,0,2,B;C;Cl;P,1,1,0,0,0,True
