smiles,canonical_smiles,curation_status
Fc1c(F)c(F)c(B(c2c(F)c(F)c(F)c(F)c2F)P(C2CCCCC2)C2CCCCC2)c(F)c1F,Fc1c(F)c(F)c(B(c2c(F)c(F)c(F)c(F)c2F)P(C2CCCCC2)C2CCCCC2)c(F)c1F,keep
Clc1c(Cl)c(Cl)c(B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)P(C2CCCCC2)C2CCCCC2)c(Cl)c1Cl,Clc1c(Cl)c(Cl)c(B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)P(C2CCCCC2)C2CCCCC2)c(Cl)c1Cl,keep
CC(C)(C)P(B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)C(C)(C)C,CC(C)(C)P(B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)C(C)(C)C,keep
CC(C)(C)P(B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)C(C)(C)C,CC(C)(C)P(B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)C(C)(C)C,keep
Cc1cc(C)c(P(c2c(C)cc(C)cc2C)C2CCCCC2B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)C2CCCCC2B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,keep
Cc1cc(C)c(P(c2c(C)cc(C)cc2C)C2CCCCC2B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(C)c1,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)C2CCCCC2B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(C)c1,keep
Fc1c(F)c(F)c(B(c2c(F)c(F)c(F)c(F)c2F)C2CCCCC2P(c2ccccc2)c2ccccc2)c(F)c1F,Fc1c(F)c(F)c(B(c2c(F)c(F)c(F)c(F)c2F)C2CCCCC2P(c2ccccc2)c2ccccc2)c(F)c1F,keep
Clc1c(Cl)c(Cl)c(B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)C2CCCCC2P(c2ccccc2)c2ccccc2)c(Cl)c1Cl,Clc1c(Cl)c(Cl)c(B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)C2CCCCC2P(c2ccccc2)c2ccccc2)c(Cl)c1Cl,keep
Cc1cc(C)c(P(c2c(C)cc(C)cc2C)C2C3CCC(C3)C2B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)C2C3CCC(C3)C2B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(C)c1,keep
Cc1cc(C)c(P(c2c(C)cc(C)cc2C)C2C3CCC(C3)C2B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(C)c1,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)C2C3CCC(C3)C2B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(C)c1,keep
Fc1c(F)c(F)c(B(c2c(F)c(F)c(F)c(F)c2F)C2C3CCC(C3)C2P(c2ccccc2)c2ccccc2)c(F)c1F,Fc1c(F)c(F)c(B(c2c(F)c(F)c(F)c(F)c2F)C2C3CCC(C3)C2P(c2ccccc2)c2ccccc2)c(F)c1F,keep
Clc1c(Cl)c(Cl)c(B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)C2C3CCC(C3)C2P(c2ccccc2)c2ccccc2)c(Cl)c1Cl,Clc1c(Cl)c(Cl)c(B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)C2C3CCC(C3)C2P(c2ccccc2)c2ccccc2)c(Cl)c1Cl,keep
Cc1ccc(C(=C(B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)P(c2ccccc2)c2ccccc2)cc1,Cc1ccc(C(=C(B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)P(c2ccccc2)c2ccccc2)cc1,keep
Cc1ccc(C(=C(B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)P(c2ccccc2)c2ccccc2)cc1,Cc1ccc(C(=C(B(c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)P(c2ccccc2)c2ccccc2)cc1,keep
Cc1ccc(C(=C(B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)P(c2c(C)cc(C)cc2C)c2c(C)cc(C)cc2C)cc1,Cc1ccc(C(=C(B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)P(c2c(C)cc(C)cc2C)c2c(C)cc(C)cc2C)cc1,keep
